start;end;sleep_quality;regularity;mood;heart_rate_bpm;steps;alarm_mode;air_pressure_pa;city;movements_per_hour;time_in_bed_seconds;time_asleep_seconds;time_before_sleep_seconds;window_start;window_stop;did_snore;snore_time;weather_temperature_c;weather_type;notes
2017-06-23T03:45:17Z;2017-06-23T11:00:05Z;64%;74%;Bom;52;5088;Normal;0.0;Rio de Janeiro;33.8;26087.3;24609.0;521.7;2017-06-23T10:45:00Z;2017-06-23T11:00:00Z;FALSE;0.0;21.8;Fair;NA
2017-06-23T11:02:06Z;2017-06-23T11:19:27Z;3%;0%;Ok;53;0;Normal;0.0;Rio de Janeiro;0.0;1040.9;0.0;0.0;2017-06-23T11:05:00Z;2017-06-23T11:20:00Z;FALSE;0.0;22.1;Fair;NA
2017-06-24T03:01:41Z;2017-06-24T04:10:23Z;15%;58%;Bom;0;3842;Normal;0.0;Rio de Janeiro;0.0;4121.8;2376.9;82.4;2017-06-24T03:55:00Z;2017-06-24T04:10:00Z;FALSE;0.0;19.1;Fair;NA
2017-06-24T08:32:27Z;2017-06-24T13:45:55Z;49%;0%;Bom;56;0;No alarm;0.0;Rio de Janeiro;75.2;18808.0;16927.2;376.2;NA;NA;FALSE;0.0;0.0;No weather;NA
2017-06-25T04:53:30Z;2017-06-25T13:38:24Z;82%;34%;Bom;59;5326;No alarm;0.0;Rio de Janeiro;49.6;31494.5;27400.2;629.9;NA;NA;FALSE;0.0;0.0;No weather;NA
2017-06-26T01:26:07Z;2017-06-26T07:19:58Z;62%;20%;Bom;42;1111;Normal;0.0;Rio de Janeiro;40.7;21230.6;20806.0;424.6;2017-06-26T07:05:00Z;2017-06-26T07:20:00Z;FALSE;0.0;19.4;Partly cloudy;NA
2017-06-27T02:31:20Z;2017-06-27T10:38:29Z;89%;29%;Bom;59;8588;Normal;0.0;Rio de Janeiro;22.8;29229.2;26014.0;1364.0;2017-06-27T10:25:00Z;2017-06-27T10:40:00Z;FALSE;0.0;20.8;Sunny;NA
2017-06-28T07:05:44Z;2017-06-28T10:59:43Z;33%;0%;Ok;55;355;Normal;NA;Rio de Janeiro;152.4;14039.0;0.0;0.0;2017-06-28T10:45:00Z;2017-06-28T11:00:00Z;TRUE;0.0;22.4;Sunny;NA
2017-06-29T02:25:28Z;2017-06-29T10:20:21Z;87%;80%;Bom;50;5033;Normal;0.0;Rio de Janeiro;22.0;28492.9;23744.1;569.9;2017-06-29T10:10:00Z;2017-06-29T10:25:00Z;FALSE;0.0;20.1;Sunny;NA
2017-06-30T03:27:31Z;2017-06-30T10:29:57Z;75%;93%;Bom;59;6569;Normal;0.0;Rio de Janeiro;30.0;25346.1;22896.0;506.9;2017-06-30T10:15:00Z;2017-06-30T10:30:00Z;FALSE;0.0;22.4;Sunny;NA
2017-07-01T03:51:30Z;2017-07-01T10:29:43Z;73%;93%;Bom;46;5410;Normal;0.0;Rio de Janeiro;25.0;23893.6;20468.8;2309.7;2017-07-01T10:15:00Z;2017-07-01T10:30:00Z;FALSE;0.0;22.7;Partly cloudy;NA
2017-07-02T03:16:46Z;2017-07-02T12:56:32Z;79%;87%;Bom;84;5931;No alarm;0.0;Rio de Janeiro;54.7;34785.5;30727.2;695.7;NA;NA;FALSE;0.0;0.0;No weather;NA
